Ámbito	Activo Afectado	Severidad	Riesgo	Vulnerabilidad	Descripción	Propuesta resolución	Estado	Plazo resolución	Fecha resolución	Plugin Output	Responsable	Solucionado	Fecha detección	HostValue
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	HTTP Strict Transport Security Policy Detected	HTTP Strict Transport Security (HSTS) is an optional response header that can be configured on the server to instruct the browser to only communicate via HTTPS.The HSTS policy can be defined with the following settings :- max-age: the time, in seconds, that the browser should remember that a site is only to be accessed in HTTPS.- includeSubDomains (optional) : if this attribute is specified, the policy applies to all current site subdomains.- preload (optional) : Google maintains a compiled list of domains which is directly distributed in some browsers to enforce HTTPS without checking for the HSTS HTTP header. As the domain submission process is public, the preload attribute is used as a validation when a domain is submitted for preloading.The scanner detected a HSTS policy on the target application.	No disponible	Pendiente			"The scanner detected the following HSTS policy on the target application :
- URL: https://alphabet-pre.e-mailteck.com/server/servicio.php?WSDL
- max-age: 31536000 seconds (about 365 days 0 hours 0 minutes 0 seconds)
- includeSubDomains: true
- preload: false"	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Interesting Response	The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.	No disponible	Pendiente			"A response has been received with a response code '400' which may require further investigation to verify if this response is due to an abnormal behavior of the target.
The response has been triggered by an HTTP GET request made on the URL 'https://alphabet-pre.e-mailteck.com/oauth/idp/.well-known/openid-configuration'."	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Missing Permissions Policy	Permissions Policy provides mechanisms to websites to restrict the use of browser features in its own frame and in iframes that it embeds.	Configure Permissions Policy on your website by adding 'Permissions-Policy' HTTP header.	Pendiente			No Permissions-Policy headers were found on https://alphabet-pre.e-mailteck.com/server/servicio.php?WSDL	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Missing Referrer Policy	Referrer Policy provides mechanisms to websites to restrict referrer information (sent in the referer header) that browsers will be allowed to add.No Referrer Policy header or metatag configuration has been detected.	Configure Referrer Policy on your website by adding 'Referrer-Policy' HTTP header or meta tag referrer in HTML.	Pendiente			No Referrer-Policy headers or body meta tags were found on https://alphabet-pre.e-mailteck.com/server/servicio.php?WSDL	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Performance Telemetry	This finding provides information to assist in scan performance tuning.	No disponible	Pendiente			"Three attachments are included in this finding to assist in performance tuning of your scan:
-pages_telemetry.csv: Scan statistics organized by page
-plugins_telemetry.csv: Scan statistics organized by plugin
-time_telemetry.csv: Chronological scan statistics"	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	SSL/TLS Certificate Information	This plugin displays information about the X.509 certificate extracted from the HTTPS connection.	No disponible	Pendiente			"Certificate 1
--------------
Common Name: alphabet-pre.e-mailteck.com
Alternative Names: alphabet-pre.e-mailteck.com
Issuer: Amazon
Valid from: 2025-01-01 00:00:00 UTC
Valid until: 2026-01-31 23:59:59 UTC (expires in 6 months, 2 weeks, 1 day)
Validity Period: 395 days
Key: RSA 2048-bit
Signature: sha256WithRSAEncryption
Certificate 2
--------------
Common Name: amazon rsa 2048 m02
Issuer: Amazon
Valid from: 2022-08-23 22:25:30 UTC
Valid until: 2030-08-23 22:25:30 UTC (expires in 5 years, 1 month, 5 days)
Validity Period: 2922 days
Key: RSA 2048-bit
Signature: sha256WithRSAEncryption
Certificate 3
--------------
Common Name: amazon root ca 1
Issuer: Starfield Technologies
Valid from: 2015-05-25 12:00:00 UTC
Valid until: 2037-12-31 01:00:00 UTC (expires in 12 years, 5 months, 1 week, 6 days)
Validity Period: 8255 days
Key: RSA 2048-bit
Signature: sha256WithRSAEncryption"	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	SSL/TLS Cipher Suites Supported	This plugin displays supported SSL/TLS cipher suites.	No disponible	Pendiente			"Protocol   Cipher Suite Name (RFC)                 Key Exchange   Strength
--------------------------------------------------------------------------
TLS1.2     TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256   x25519         256
TLS1.2     TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384   x25519         256
TLS1.3     TLS_AES_128_GCM_SHA256                  x25519         256
TLS1.3     TLS_AES_256_GCM_SHA384                  x25519         256
TLS1.3     TLS_CHACHA20_POLY1305_SHA256            x25519         256"	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	SSL/TLS Server Cipher Suite Preference	The remote server is configured with a SSL/TLS cipher suite preference list used to determine the cipher suite during the negotiation with the client.	No disponible	Pendiente			"The scanner detected that the remote host is configured with cipher suite preference on the following protocol(s):
TLS v1.3
-------
TLS_AES_128_GCM_SHA256
TLS_AES_256_GCM_SHA384
TLS_CHACHA20_POLY1305_SHA256
TLS v1.2
-------
TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256
TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384"	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	SSL/TLS Versions Supported	This plugin displays information about the SSL/TLS versions supported by remote server for HTTPS connection.	No disponible	Pendiente			"Protocol   Supported
---------------------
SSL 2.0    No
SSL 3.0    No
TLS 1.0    No
TLS 1.1    No
TLS 1.2    Yes
TLS 1.3    Yes"	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Scan Information	Provides scan information and statistics of plugins run.	No disponible	Pendiente			"Engine Version      2.100.0-1900
Plugins Version     202507100539
Scan ID             8754aff0-30bc-4cf2-86fc-bb074b82521c
Start Time          2025-07-18 08:47:09 +0000
Duration            00:11:42
Requests            13490
Crawler Requests    16
Requests/s          21.2403
Mean Response Time  0.0597s
Bandwidth Usage
- Data to Target    7.72 MB
- Data from Target  13.6 MB
Timeouts Encountered
Network Timeouts    0
Browser Timeouts    0
Browser Respawns    0
HTTP Protocols Detected
- HTTPs
Authentication Identified
- None
Plugins
- 853 have been included per scan policy
- 599 have been started based on target information collected
List of plugins is available in 'plugins.csv' attachment.
Settings used to conduct this scan are available in 'configuration.csv' attachment."	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Screenshot	Screenshot of the target web page, see attached image. This screenshot should show you the target page we are launching the scan against. If the image is not of the intended target page, please check the provided url in the scan configuration.	No disponible	Pendiente			"WAS Scanner has taken a screenshot of the page at url 'https://alphabet-pre.e-mailteck.com/server/servicio.php?WSDL' with dimensions 1585x1200.
Please see the attachment for the screenshot image."	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Security.txt File Not Detected	A Security.txt file has not been detected on the target.When security risks in web services are discovered by independent security researchers, this file defines the channels to disclose them properly & enables 3rd party researchers to disclose issues securely in a manner defined by the organization.Organizations should consider creating a security.txt file containing contact and other information in the defined format and place it under the .well-known directory of the server.	No disponible	Pendiente			No or a malformed security.txt was found at 'https://alphabet-pre.e-mailteck.com/.well-known/security.txt'.	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Target Information	Publishes the target information of the starting url as evaluated by the scan.	No disponible	Pendiente			"Access to URL 'https://alphabet-pre.e-mailteck.com/server/servicio.php?WSDL' has been confirmed.
Target Information
------------------------
Domain Name : alphabet-pre.e-mailteck.com
IP Address  : 52.18.51.163
Response Information
---------------------------
Status Code   : 200
Return Code   : ok
Return Message: No error
Response Time : 0.118792s
Response Size : 4218 bytes
Content-Type  : text/xml; charset=UTF-8"	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Technologies Detected	This is an informational plugin to inform the user what technologies the framework has detected on the target application, which can then be examined and checked for known vulnerable software versions	Only use components that do not have known vulnerabilities, only use components that when combined to not introduce a security vulnerability, and ensure that a misconfiguration does not cause any vulnerabilities	Pendiente			"The framework has detected the following technologies in the target application:
- PHP (version unknown)
- Laravel (version unknown)"	Sistemas	NO	18/07/2025	1
Externo	alphabet-pre.e-mailteck.com	Informativa	Informativa	Web Application Sitemap	Publishes the sitemap of the web application as seen by the scan.The list of all URLs that have been detected during the scan are available as an attachment. For each URL in the sitemap, the following information is provided:- The first time the URL is detected - The logic used to detect the URL. This information may be found by: crawling rendering the page by a specific plugin - The parent URL requested to detect the URL - If the URL has been requested at least once, information about the response - Whether or not the URL has been queued for audit - If the URL has not been queued for audit, the reason why the URL does not need an audit - Whether or not the URL has been effectively audited - If the URL has not been effectively audited, the reason that the scanner was unable to audit the URLReasons for not adding a URL to the audit queue are as follows:- not_in_domain: The domain of the URL does not match main target URL - scope_configuration: The URL does not match scope include list scan settings - directory_depth: The number of directories in the URL path exceeds the scan configuration setting - exclude_file_extension: The URL file extension matched one entry of the file extension blacklist setting - exclude_path_patterns: The URL matched one entry of the URL exclusion blacklist setting - redundant_path: The number of URLs to be audited with the same path and query string parameters has been reached - request_redirect_limit: The number of HTTP redirects allowed per scan configuration setting has been reached - queue_full: The number of URLs to audit has been reachedIf a scan fails to audit a URL that has been queued for audit, reasons for the failure are as follows:- timeout: The request timed out when trying to retrieve URL contents - filesize_exceeded: URL response exceeded file size limit defined in the scan configuration - scan_timelimit_reached: The URL couldn’t be audited before the scan time limit - user_abort: The user stopped the scan before the URL could be audited	No disponible	Pendiente			"The scan has discovered 1 distinct URL.
The following is a breakdown of which URLs were audited:
- 1 effectively audited
For URLs we received responses for, here is a distribution of the content type headers:
- 1 text/xml; charset=utf-8
Response times ranged between 0.118792s and 0.118792s.
You can access the complete list of URLs with the information collected by the scan as an attachment to this plugin."	Sistemas	NO	18/07/2025	1
